Group1,Group2,Group3,Group4,Group5,Group6,Group7,PC-Norm,8.1.,8.2.,8.3.,8.4.,8.5.,8.1.-Norm,8.2.-Norm,8.3.-Norm,8.4.-Norm,8.5.-Norm,8.1.-Weighted,8.2.-Weighted,8.3.-Weighted,8.4.-Weighted,8.5.-Weighted
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.1.,0.0,2.4696,4.0543776,3.2960927999999994,8.03088,0.2721599999999999,0.13626799955928096,0.2237131215621795,0.18187235674512028,0.44312923238606994,0.015017289747349326,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.2.,0.0,2.2932,3.8158848,3.042547199999999,7.495488,0.4762799999999998,0.13392200147167035,0.22284621044885947,0.1776835908756438,0.4377336276674025,0.02781456953642383,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.3.,7.797859547366748e-06,1.9404,2.8619136,3.042547199999999,6.424704,0.6123599999999999,0.13038635969992268,0.1923080272519587,0.2044458120094787,0.43171189791256037,0.041147903126079494,1.016734519832437e-06,1.4995909863419507e-06,1.5942397270972607e-06,3.3664287448492777e-06,3.2086556924582104e-07
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.1.,0.0,1.9756799999999992,3.7647792,2.4720696,7.413119999999999,0.34992,0.12366883612932765,0.2356585388058296,0.1547406312068213,0.4640285483919671,0.021903445466054397,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.2.,0.0,1.8345599999999995,3.5433216000000005,2.2819104,6.918912,0.61236,0.12076573438173913,0.2332503898344448,0.15021399422713247,0.45545934109684477,0.040310540459838756,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.3.,3.24833912505692e-06,1.5523199999999997,2.6574912,2.2819104,5.930496,0.78732,0.11751509000587573,0.201179729410059,0.1727471823086374,0.4489556091653049,0.05960238911012298,3.8172886465067157e-07,6.534999862110589e-07,5.611414310364875e-07,1.458360070665423e-06,1.9360877249327897e-07
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.1.,8.409230192352606e-05,6.914879999999997,6.588363599999999,4.195027199999998,6.424704,0.2177279999999999,0.2840871135405342,0.27067269397003607,0.17234618221459075,0.263948993288723,0.008945016986115944,2.3889539324433628e-05,2.2761489903782446e-05,1.4492987190156402e-05,2.219607843604605e-05,7.522070691075311e-07
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.2.,0.0002463641657915,6.420959999999997,6.2008128,3.8723327999999984,5.996390399999999,0.3810239999999999,0.2807404142794182,0.2711150286469811,0.16930806522697223,0.262177170559718,0.016659321286910535,6.916437796790898e-05,6.679302786615213e-05,4.1711440251415884e-05,6.459105991452074e-05,4.104259791502292e-06
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.3.,0.0001304817618822,5.433119999999998,4.650609599999999,3.8723327999999984,5.1397632,0.4898879999999999,0.2774021978959193,0.23744907614701358,0.19771211195490976,0.2624240967150669,0.02501251728709032,3.619592753145426e-05,3.0982773812962995e-05,2.5797824713327402e-05,3.424155849972678e-05,3.2636773247285297e-06
1.1.,2.1.,3.1.,4.1.,5.2.,6.2.,7.1.,5.9445130196038925e-05,5.531903999999997,6.117766199999999,3.1462703999999992,5.930496,0.279936,0.26334408635596607,0.29123382301616424,0.14977694911495573,0.2823188997418813,0.01332624177103286,1.5654523499787322e-05,1.731243252668604e-05,8.90351024050404e-06,1.6782483751958592e-05,7.921801771029407e-07
1.1.,2.1.,3.1.,4.1.,5.2.,6.2.,7.2.,0.00012937277219,5.136767999999998,5.7578976,2.904249599999999,5.535129599999999,0.489888,0.2591195224390591,0.29045183204010866,0.14650219153285265,0.2792145058118842,0.024711948176095518,3.352301094648999e-05,3.7576558698693125e-05,1.8953394650515494e-05,3.612275465254432e-05,3.1970532417570916e-06
1.1.,2.1.,3.1.,4.1.,5.2.,6.2.,7.3.,5.534279699240602e-05,4.346495999999998,4.3184232,2.904249599999999,4.7443968,0.6298560000000001,0.2565300033613045,0.2548731479360698,0.17140868406414436,0.2800140911325727,0.03717407350590864,1.4197087898485907e-05,1.4105392885041378e-05,9.486236004897401e-06,1.549676300056305e-05,2.057317203418281e-06
1.1.,2.1.,3.1.,4.1.,5.3.,6.1.,7.1.,2.980341919003572e-05,5.927039999999998,6.588363599999999,3.5957375999999983,6.960096,0.235872,0.2543018076218564,0.2826761372877594,0.15427642995725951,0.2986254511563365,0.010120173976788166,7.579063373338007e-06,8.424715414607181e-06,4.59796511315839e-06,8.900059501625833e-06,3.0161578730630854e-07
1.1.,2.1.,3.1.,4.1.,5.3.,6.1.,7.2.,0.0001074642518871,5.503679999999999,6.2008128,3.3191423999999983,6.4960896,0.412776,0.25093718450930136,0.28272256121381284,0.15133442511945552,0.29618554031923255,0.018820288838197603,2.696677680394725e-05,3.0382568532447233e-05,1.626304078022664e-05,3.1829357510182824e-05,2.022508260296044e-06
1.1.,2.1.,3.1.,4.1.,5.3.,6.1.,7.3.,5.691625192541543e-05,4.65696,4.650609599999999,3.3191423999999983,5.568076799999999,0.530712,0.24869615236138304,0.24835702124452658,0.17725253041029473,0.29735262407507945,0.028341671908716053,1.4154852860681978e-05,1.4135550788599228e-05,1.0088549675249696e-05,1.692419686254057e-05,1.6131017383439526e-06
1.1.,2.1.,3.1.,4.1.,5.3.,6.2.,7.1.,2.604577371182001e-05,4.741631999999998,6.117766199999999,2.696803199999999,6.424704,0.303264,0.23376022485791303,0.30160299292314136,0.13295112788793803,0.3167348819321141,0.014950772398893496,6.088465919473366e-06,7.855483304483792e-06,3.4628149917004767e-06,8.249605061443872e-06,3.894044347185044e-07
1.1.,2.1.,3.1.,4.1.,5.3.,6.2.,7.2.,6.976546529951786e-05,4.402943999999999,5.7578976,2.4893567999999986,5.996390399999999,0.530712,0.22959143447340616,0.3002454652012342,0.12980746487534883,0.312681667901877,0.027673967548133782,1.6017553254820947e-05,2.09467645838343e-05,9.056078186379533e-06,2.181438205180377e-05,1.9306872226793107e-06
1.1.,2.1.,3.1.,4.1.,5.3.,6.2.,7.3.,2.984411571146044e-05,3.725567999999999,4.3184232,2.4893567999999986,5.1397632,0.6823440000000001,0.227787484630816,0.26403564726220524,0.15220345563968155,0.31425375430700336,0.04171965816029383,6.798116048944589e-06,7.879910408843606e-06,4.542377541794792e-06,9.378625406299067e-06,1.2450863055783837e-06
1.1.,2.1.,3.1.,4.1.,5.4.,6.1.,7.1.,4.6593364325035175e-06,3.9513599999999993,4.5611748,2.6968031999999997,7.495488,0.2540159999999999,0.20841779260568763,0.24058298497344935,0.14224514345338182,0.3953557922999728,0.013398286667508488,9.710886142696427e-07,1.1209570669272388e-06,6.627679792390311e-07,1.842095646864557e-06,6.242712520304845e-08
1.1.,2.1.,3.1.,4.1.,5.4.,6.1.,7.2.,1.5884101474443813e-05,3.66912,4.2928704,2.489356799999999,6.995788799999999,0.4445279999999999,0.20507427369528072,0.23993690022347844,0.1391350072301827,0.3910082818456685,0.024845537005389776,3.2574205731737027e-06,3.811182070613232e-06,2.210034573491696e-06,6.210815226184525e-06,3.9464903098066005e-07
1.1.,2.1.,3.1.,4.1.,5.4.,6.1.,7.3.,1.0515863476136414e-05,3.10464,3.2196527999999995,2.489356799999999,5.996390399999999,0.5715359999999999,0.20184147580195946,0.2093187850191684,0.16184016514302563,0.3898423932632131,0.03715718077263344,2.1225374033552976e-06,2.201167766252323e-06,1.7018890815994288e-06,4.099529384766231e-06,3.907398401631342e-07
1.1.,2.1.,3.1.,4.1.,5.4.,6.2.,7.1.,3.058436222361284e-06,3.161087999999999,4.2353766,2.0226024,6.918912,0.326592,0.18968913151139616,0.2541545533935437,0.12137140524049492,0.41518692560402537,0.01959798425053966,5.801521108027072e-07,7.77315492176869e-07,3.712067021464198e-07,1.2698227323181708e-06,5.993918491711645e-08
1.1.,2.1.,3.1.,4.1.,5.4.,6.2.,7.2.,7.7453904332526e-06,2.9352959999999992,3.9862368,1.8670176,6.457651199999999,0.5715359999999999,0.18556990096990858,0.25201055301359915,0.11803316297268708,0.4082537821337989,0.036132600910006245,1.4373113356719624e-06,1.951920126390228e-06,9.142129312951956e-07,3.1620849384783178e-06,2.798611014168966e-07
1.1.,2.1.,3.1.,4.1.,5.4.,6.2.,7.3.,4.141632384447572e-06,2.483712,2.9896776000000003,1.8670176,5.535129599999999,0.734832,0.18248675230608005,0.21966176258206904,0.1371761211937181,0.4066847622821212,0.053990601636011507,7.557930430835238e-07,9.097582695347311e-07,5.681330659088079e-07,1.6843387817289956e-06,2.2360922419151332e-07
1.1.,2.1.,3.1.,4.2.,5.1.,6.1.,7.1.,0.0,1.5875999999999997,3.4306271999999995,2.8252223999999995,6.795360000000001,0.36288,0.10582807952512227,0.22868272117828645,0.18832694685270646,0.45297297712385687,0.024189275320027948,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.2.,5.1.,6.1.,7.2.,0.0,1.4742,3.2288256,2.6078976,6.342336000000001,0.6350399999999999,0.10317533104289976,0.22597690283529334,0.18251980613619848,0.44388320199789777,0.044444757987710665,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.2.,5.1.,6.1.,7.3.,3.74297258273604e-05,1.2474,2.4216192,2.6078976,5.436288000000001,0.81648,0.09955557700860918,0.1932705601660466,0.20813752633266555,0.4338726860870435,0.0651636504056351,3.7263379520169058e-06,7.234064077515486e-06,7.790530545016677e-06,1.623973568421844e-05,2.439057568592884e-06
1.1.,2.1.,3.1.,4.2.,5.1.,6.2.,7.1.,0.0,1.2700799999999997,3.1855824000000004,2.1189168,6.272640000000001,0.4665600000000001,0.09539590381670139,0.2392695831999377,0.15915216620086353,0.4711389535437091,0.03504339323878828,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.2.,5.1.,6.2.,7.2.,0.0,1.1793599999999995,2.9981952000000005,1.9559232,5.854464,0.81648,0.0921056774884277,0.2341531001039141,0.15275372358850015,0.45722202978870796,0.06376546903044997,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.2.,5.1.,6.2.,7.3.,2.289738348291869e-05,0.9979199999999998,2.2486464,1.9559232,5.018112,1.04976,0.08854374290883442,0.1995185673545736,0.1735457361013155,0.4452485357701389,0.09314341786513752,2.027420036396544e-06,4.5684531486802135e-06,3.973743271337227e-06,1.0195026468736909e-05,2.1327405577677934e-06
1.1.,2.1.,3.1.,4.2.,5.2.,6.1.,7.1.,0.0004316738165407,4.445279999999999,5.5747692,3.5957375999999988,5.436288000000001,0.290304,0.2298207498655749,0.28821528404768915,0.18589945100237615,0.28105581305232225,0.01500870203203755,9.920760021471829e-05,0.0001244149916502279,8.024792550701657e-05,0.00012132443548124543,6.4788636874918085e-06
1.1.,2.1.,3.1.,4.2.,5.2.,6.1.,7.2.,0.0011209569543516,4.127759999999999,5.2468416,3.3191423999999987,5.0738688000000005,0.5080319999999999,0.22586125114447397,0.28709474589919803,0.18161561117668468,0.27763008394647726,0.027798307833166027,0.00025318074018895135,0.0003218208519735115,0.00020358328236732084,0.00031121137333702214,3.116070648479401e-05
1.1.,2.1.,3.1.,4.2.,5.2.,6.1.,7.3.,0.0004384187199242,3.4927199999999994,3.9351312,3.3191423999999987,4.349030400000001,0.653184,0.22177115192078228,0.24986216449741472,0.21074979770411303,0.2761428003236735,0.04147408555401643,9.722862454122466e-05,0.00010954425031644645,9.239665653372134e-05,0.0001210661730341889,1.818301549861864e-05
1.1.,2.1.,3.1.,4.2.,5.2.,6.2.,7.1.,0.0004481248276316,3.556223999999999,5.1765714,2.6968031999999997,5.018112,0.373248,0.21141625067670036,0.3077453267140197,0.1603239900964978,0.29832497180035866,0.022189460712423368,9.474087089301549e-05,0.0001379083214881505,7.184516042720342e-05,0.00013368682656623765,9.943648256992882e-06
1.1.,2.1.,3.1.,4.2.,5.2.,6.2.,7.2.,0.0008644453414516,3.302208,4.8720672,2.489356799999999,4.6835712,0.6531839999999999,0.20638300553126615,0.3044968311766856,0.15558103493895442,0.2927161162699863,0.04082301208310758,0.0001784068276862828,0.00026322086719746015,0.00013449130087119776,0.00025303708307739453,3.528926261926473e-05
1.1.,2.1.,3.1.,4.2.,5.2.,6.2.,7.3.,0.000273076066838,2.7941759999999998,3.6540504,2.489356799999999,4.0144896,0.839808,0.20259571848967836,0.2649421390010853,0.1804943673817134,0.29107629758517056,0.06089147754235231,5.5324041963380044e-05,7.234935725806307e-05,4.9288691931011294e-05,7.948597049432561e-05,1.6628005191219976e-05
1.1.,2.1.,3.1.,4.2.,5.3.,6.1.,7.1.,0.0001229391041588,3.810239999999999,5.5747692,3.082060799999999,5.889312000000001,0.314496,0.20407395945707532,0.2985809879963867,0.1650731583163898,0.3154276944019452,0.016844199828203045,2.5088669757792108e-05,3.67072791831252e-05,2.0293946204080725e-05,3.877839817665087e-05,2.070810837151095e-06
1.1.,2.1.,3.1.,4.2.,5.3.,6.1.,7.2.,0.0003929161709623,3.5380799999999994,5.2468416,2.8449791999999987,5.496691200000001,0.550368,0.20015206234556168,0.29681809541912185,0.16094278654248237,0.3109522904390801,0.03113476525375404,7.864298194702564e-05,0.00011662462952440396,6.323702343227496e-05,0.00012217818331128038,1.2233352747315102e-05
1.1.,2.1.,3.1.,4.2.,5.3.,6.1.,7.3.,0.0001536738801986,2.99376,3.9351312,2.8449791999999987,4.711449600000001,0.7076159999999999,0.19704947088568006,0.25901058228639945,0.18725670930227042,0.31010790804358035,0.04657532948206983,3.0281356782083515e-05,3.9803161192449774e-05,2.877646511170117e-05,4.765548550932763e-05,7.157411603037921e-06
1.1.,2.1.,3.1.,4.2.,5.3.,6.2.,7.1.,0.0001577772830619,3.048191999999999,5.1765714,2.311545599999999,5.436288000000001,0.404352,0.18612697639835105,0.3160888758950156,0.1411462904354162,0.3319475440755174,0.02469031319569964,2.936660864065821e-05,4.987164404480565e-05,2.226967821916581e-05,5.2373781623305435e-05,3.895570533964866e-06
